CODIGO_TRK,CODIGO_SAP
871019,ET8710198
871018,ET871018K
871017,ET8710171
871016,ET8710163
871015,ET8710155
871014,ET8710147
871013,ET8710139
871012,ET8710120
871011,ET8710112
871010,ET8710104
871009,ET8710090
871008,ET8710082
871007,ET8710074
871006,ET8710066
871005,ET8710058
871004,ET871004K
871003,ET8710031
871002,ET8710023
871001,ET8710015
870999,ET8709998
870998,ET870998K
870997,ET8709971
870992,ET8709920
870991,ET8709912
870990,ET8709904
870989,ET8709890
870988,ET8709882
870987,ET8709874
870986,ET8709866
870985,ET8709858
870984,ET870984K
870983,ET8709831
870982,ET8709823
870981,ET8709815
870980,ET8709807
870979,ET8709793
870978,ET8709785
870977,ET8709777
870976,ET8709769
870975,ET8709750
870974,ET8709742
870973,ET8709734
870972,ET8709726
870971,ET8709718
870970,ET870970K
870969,ET8709696
870968,ET8709688
870967,ET870967K
870964,ET8709645
870963,ET8709637
870962,ET8709629
870961,ET8709610
870960,ET8709602
870959,ET8709599
870958,ET8709580
870957,ET8709572
870956,ET8709564
870955,ET8709556
870950,ET8709505
870949,ET8709491
870948,ET8709483
870947,ET8709475
870946,ET8709467
870945,ET8709459
870944,ET8709440
870943,ET8709432
870942,ET8709424
870941,ET8709416
870940,ET8709408
870939,ET8709394
870938,ET8709386
870937,ET8709378
870936,ET870936K
870935,ET8709351
870934,ET8709343
870933,ET8709335
870932,ET8709327
870931,ET8709319
870930,ET8709300
870929,ET8709297
870928,ET8709289
870927,ET8709270
870926,ET8709262
870925,ET8709254
870924,ET8709246
870923,ET8709238
870922,ET870922K
870921,ET8709211
870920,ET8709203
870919,ET870919K
870918,ET8709181
870917,ET8709173
870916,ET8709165
870915,ET8709157
870914,ET8709149
870913,ET8709130
870912,ET8709122
870911,ET8709114
870910,ET8709106
870909,ET8709092
870908,ET8709084
870907,ET8709076
870906,ET8709068
870905,ET870905K
870904,ET8709041
870903,ET8709033
870902,ET8709025
870901,ET8709017
870900,ET8709009
870899,ET8708991
870898,ET8708983
870897,ET8708975
870896,ET8708967
870895,ET8708959
870894,ET8708940
870893,ET8708932
870892,ET8708924
870891,ET8708916
870890,ET8708908
870889,ET8708894
870888,ET8708886
870887,ET8708878
870886,ET870886K
870885,ET8708851
870884,ET8708843
870883,ET8708835
870882,ET8708827
870881,ET8708819
870880,ET8708800
870878,ET8708789
870877,ET8708770
870876,ET8708762
870875,ET8708754
870874,ET8708746
870873,ET8708738
870872,ET870872K
870871,ET8708711
870870,ET8708703
870869,ET870869K
870868,ET8708681
870867,ET8708673
870866,ET8708665
870865,ET8708657
870864,ET8708649
870863,ET8708630
870862,ET8708622
870861,ET8708614
870860,ET8708606
870859,ET8708592
870858,ET8708584
870857,ET8708576
870856,ET8708568
870855,ET870855K
870854,ET8708541
870853,ET8708533
870852,ET8708525
870851,ET8708517
870850,ET8708509
870849,ET8708495
870848,ET8708487
870847,ET8708479
870846,ET8708460
870845,ET8708452
870844,ET8708444
870843,ET8708436
870842,ET8708428
870841,ET870841K
870840,ET8708401
870839,ET8708398
870838,ET870838K
870837,ET8708371
870836,ET8708363
870835,ET8708355
870834,ET8708347
870833,ET8708339
870832,ET8708320
870831,ET8708312
870830,ET8708304
870829,ET8708290
870828,ET8708282
870827,ET8708274
870826,ET8708266
870825,ET8708258
870824,ET870824K
870823,ET8708231
870822,ET8708223
870821,ET8708215
870820,ET8708207
870819,ET8708193
870816,ET8708169
870815,ET8708150
870814,ET8708142
870813,ET8708134
870812,ET8708126
870811,ET8708118
870810,ET870810K
870809,ET8708096
870808,ET8708088
870807,ET870807K
870806,ET8708061
870805,ET8708053
870804,ET8708045
870803,ET8708037
870802,ET8708029
870801,ET8708010
870800,ET8708002
870799,ET8707995
870798,ET8707987
870797,ET8707979
870796,ET8707960
870795,ET8707952
870794,ET8707944
870793,ET8707936
870792,ET8707928
870791,ET870791K
870790,ET8707901
870789,ET8707898
870788,ET870788K
870787,ET8707871
870786,ET8707863
870785,ET8707855
870784,ET8707847
870783,ET8707839
870782,ET8707820
870781,ET8707812
870780,ET8707804
870779,ET8707790
870778,ET8707782
870777,ET8707774
870776,ET8707766
870775,ET8707758
870774,ET870774K
870773,ET8707731
870772,ET8707723
870771,ET8707715
870770,ET8707707
870769,ET8707693
870768,ET8707685
870767,ET8707677
870766,ET8707669
870765,ET8707650
870764,ET8707642
870763,ET8707634
870762,ET8707626
870761,ET8707618
870760,ET870760K
870759,ET8707596
870758,ET8707588
870757,ET870757K
870756,ET8707561
870755,ET8707553
870754,ET8707545
870753,ET8707537
870752,ET8707529
870751,ET8707510
870750,ET8707502
870749,ET8707499
870748,ET8707480
870747,ET8707472
870746,ET8707464
870745,ET8707456
870744,ET8707448
870743,ET870743K
870742,ET8707421
870741,ET8707413
870740,ET8707405
870739,ET8707391
870738,ET8707383
870737,ET8707375
870736,ET8707367
870735,ET8707359
870734,ET8707340
870733,ET8707332
870732,ET8707324
870731,ET8707316
870730,ET8707308
870729,ET8707294
870728,ET8707286
870727,ET8707278
870726,ET870726K
870725,ET8707251
870724,ET8707243
870723,ET8707235
870722,ET8707227
870721,ET8707219
870720,ET8707200
870719,ET8707197
870718,ET8707189
870717,ET8707170
870716,ET8707162
870715,ET8707154
870714,ET8707146
870713,ET8707138
870712,ET870712K
870711,ET8707111
870710,ET8707103
870709,ET870709K
870708,ET8707081
870707,ET8707073
870706,ET8707065
870705,ET8707057
870704,ET8707049
870703,ET8707030
870702,ET8707022
870701,ET8707014
870700,ET8707006
870699,ET8706999
870698,ET8706980
870697,ET8706972
870695,ET8706956
870694,ET8706948
870693,ET870693K
870692,ET8706921
870691,ET8706913
870690,ET8706905
870689,ET8706891
870688,ET8706883
870687,ET8706875
870686,ET8706867
870685,ET8706859
870684,ET8706840
870683,ET8706832
870682,ET8706824
870681,ET8706816
870680,ET8706808
870679,ET8706794
870678,ET8706786
870677,ET8706778
870676,ET870676K
870675,ET8706751
870674,ET8706743
870673,ET8706735
870672,ET8706727
870671,ET8706719
870670,ET8706700
870669,ET8706697
870668,ET8706689
870667,ET8706670
870666,ET8706662
870665,ET8706654
870664,ET8706646
870663,ET8706638
870662,ET870662K
870661,ET8706611
870660,ET8706603
870659,ET870659K
870657,ET8706573
870656,ET8706565
870655,ET8706557
870654,ET8706549
870653,ET8706530
870652,ET8706522
870651,ET8706514
870650,ET8706506
870649,ET8706492
870648,ET8706484
870647,ET8706476
870646,ET8706468
870645,ET870645K
870644,ET8706441
870643,ET8706433
870642,ET8706425
870641,ET8706417
870640,ET8706409
870639,ET8706395
870638,ET8706387
870637,ET8706379
870635,ET8706352
870634,ET8706344
870633,ET8706336
870632,ET8706328
870631,ET870631K
870630,ET8706301
870629,ET8706298
870628,ET870628K
870627,ET8706271
870626,ET8706263
870625,ET8706255
870621,ET8706212
870615,ET8706158
870614,ET870614K
870594,ET8705941
870585,ET8705852
870583,ET8705836
870582,ET8705828
870581,ET870581K
870550,ET870550K
870549,ET8705496
870548,ET8705488
870547,ET870547K
870546,ET8705461
870545,ET8705453
870544,ET8705445
870543,ET8705437
870541,ET8705410
870540,ET8705402
870539,ET8705399
870538,ET8705380
870537,ET8705372
870536,ET8705364
870535,ET8705356
870534,ET8705348
870533,ET870533K
870532,ET8705321
870531,ET8705313
870530,ET8705305
870529,ET8705291
870528,ET8705283
870527,ET8705275
870526,ET8705267
870525,ET8705259
870524,ET8705240
870523,ET8705232
870522,ET8705224
870521,ET8705216
870520,ET8705208
870519,ET8705194
870518,ET8705186
870517,ET8705178
870516,ET870516K
870515,ET8705151
870512,ET8705127
870510,ET8705100
870508,ET8705089
870506,ET8705062
870505,ET8705054
870504,ET8705046
870503,ET8705038
870502,ET870502K
870501,ET8705011
870500,ET8705003
870499,ET8704996
870498,ET8704988
870497,ET870497K
870496,ET8704961
870495,ET8704953
870494,ET8704945
870493,ET8704937
870492,ET8704929
870491,ET8704910
870490,ET8704902
870489,ET8704899
870488,ET8704880
870487,ET8704872
870486,ET8704864
870485,ET8704856
870484,ET8704848
870483,ET870483K
870482,ET8704821
870481,ET8704813
870480,ET8704805
870479,ET8704791
870478,ET8704783
870477,ET8704775
870476,ET8704767
870475,ET8704759
870474,ET8704740
870473,ET8704732
870472,ET8704724
870471,ET8704716
870470,ET8704708
870469,ET8704694
870468,ET8704686
870467,ET8704678
870466,ET870466K
870465,ET8704651
870464,ET8704643
870463,ET8704635
870462,ET8704627
870457,ET8704570
870456,ET8704562
870455,ET8704554
870454,ET8704546
870453,ET8704538
870452,ET870452K
870451,ET8704511
870450,ET8704503
870449,ET870449K
870448,ET8704481
870447,ET8704473
870446,ET8704465
870445,ET8704457
870444,ET8704449
870442,ET8704422
870441,ET8704414
870440,ET8704406
870439,ET8704392
870438,ET8704384
870437,ET8704376
870436,ET8704368
870435,ET870435K
870434,ET8704341
870433,ET8704333
870432,ET8704325
870431,ET8704317
870430,ET8704309
870429,ET8704295
870428,ET8704287
870427,ET8704279
870426,ET8704260
870425,ET8704252
870424,ET8704244
870423,ET8704236
870422,ET8704228
870421,ET870421K
870420,ET8704201
870419,ET8704198
870418,ET870418K
870417,ET8704171
870416,ET8704163
870415,ET8704155
870414,ET8704147
870413,ET8704139
870412,ET8704120
870411,ET8704112
870410,ET8704104
870409,ET8704090
870408,ET8704082
870407,ET8704074
870406,ET8704066
870405,ET8704058
870404,ET870404K
870403,ET8704031
870402,ET8704023
870401,ET8704015
870400,ET8704007
870391,ET8703914
870390,ET8703906
870389,ET8703892
